,icaoId,receiptTime,obsTime,reportTime,temp,dewp,wdir,wspd,visib,altim,qcField,metarType,rawOb,lat,lon,elev,name,cover,clouds,fltCat,wgst,wxString,slp,precip,minT,maxT24,minT24,maxT,vertVis,orig_name,letterCode2,country,wchill
3880,BGBW,2026-02-27 03:56:42.854000+00:00,1772164200,2026-02-27T04:00:00.000Z,-12.0,-22.0,70,5.0,,1007.0,2,METAR,METAR BGBW 270350Z AUTO 07005KT 010V110 9999NDV ///110/// ///120/// M12/M22 Q1007 RMK /// ///,61.164,-45.42,49,Narssarssuaq Arpt,,,,,,,,,,,,,"Narssarssuaq Arpt, KJ, GL",GL,Greenland,-17.339085198840532
1451,BGGH,2026-02-27 03:53:14.819000+00:00,1772164200,2026-02-27T04:00:00.000Z,-15.0,-24.0,70,21.0,6+,1007.0,2,METAR,METAR BGGH 270350Z AUTO 07021KT 9999 FEW250/// M15/M24 Q1007,64.191,-51.677,76,Godthab/Nuuk Arpt,FEW,"[{'cover': 'FEW', 'base': 25000}]",VFR,,,,,,,,,,"Godthab/Nuuk Arpt, SM, GL",GL,Greenland,-27.27683822842402
1857,BGJN,2026-02-27 03:56:42.885000+00:00,1772164200,2026-02-27T04:00:00.000Z,-29.0,-38.0,170,8.0,,1017.0,2,METAR,METAR BGJN 270350Z AUTO 17008KT 9999NDV NCD M29/M38 Q1017,69.24,-51.064,22,Ilulissat Arpt,CLR,[],,,,,,,,,,,"Ilulissat Arpt, AV, GL",GL,Greenland,-40.06701922783671
2042,BGKK,2026-02-27 03:56:42.915000+00:00,1772164200,2026-02-27T04:00:00.000Z,-20.0,-31.0,320,4.0,,990.0,2,METAR,METAR BGKK 270350Z AUTO 32004KT 300V010 9999NDV NCD M20/M31 Q0990,65.575,-37.133,37,Kulusuk Arpt,CLR,[],,,,,,,,,,,"Kulusuk Arpt, SM, GL",GL,Greenland,-25.869966620199047
3450,BGSF,2026-02-27 03:56:42.946000+00:00,1772164200,2026-02-27T04:00:00.000Z,-31.0,-36.0,40,4.0,,1015.0,2,METAR,METAR BGSF 270350Z AUTO 04004KT 9999NDV NCD M31/M36 Q1015,67.013,-50.718,75,Stroemfjord Arpt,CLR,[],,,,,,,,,,,"Stroemfjord Arpt, QQ, GL",GL,Greenland,-38.70949031098055
3663,BGTL,2026-02-27 03:59:05.787000+00:00,1772164500,2026-02-27T04:00:00.000Z,-22.9,-26.5,140,32.0,0.25,1010.2,44,METAR,METAR BGTL 270355Z 14032KT 0400 R08/0550V0600 BLSN SQ VV006 M23/M26 A2983 RMK AO2A PK WND 14049/0258 CIG 002 RWY26 SLP088 T12291265 412291291 PNO TSNO $,76.527,-68.758,79,Thule,OVX,"[{'cover': 'OVX', 'base': 600}]",LIFR,,BLSN SQ,1008.8,,,-22.9,-29.1,,6.0,"Thule, AV, GL",GL,Greenland,-40.366669563519494
1911,BIKF,2026-02-27 03:33:13.413000+00:00,1772163000,2026-02-27T03:30:00.000Z,-6.0,-9.0,240,25.0,0.99,985.0,0,METAR,METAR BIKF 270330Z 24025KT 1600 -SHSN BLSN SCT016CB BKN030 BKN070 M06/M09 Q0985,63.987,-22.614,49,Keflavik Intl,BKN,"[{'cover': 'SCT', 'base': 1600}, {'cover': 'BKN', 'base': 3000}, {'cover': 'BKN', 'base': 7000}]",LIFR,,-SHSN BLSN,,,,,,,,"Keflavik Intl, SP, IS",IS,Iceland,-15.977523543655776
3229,BIRK,2026-02-27 03:36:40.764000+00:00,1772163360,2026-02-27T03:36:00.000Z,-5.0,-7.0,260,19.0,6+,985.0,0,SPECI,SPECI BIRK 270336Z 26019G33KT 9999 VCSH BLSN FEW002 BKN026 M05/M07 Q0985,64.129,-21.941,12,Reykjavik Arpt,BKN,"[{'cover': 'FEW', 'base': 200}, {'cover': 'BKN', 'base': 2600}]",MVFR,33.0,VCSH BLSN,,,,,,,,"Reykjavik Arpt, HO, IS",IS,Iceland,-13.565667814937017
2871,BKPR,2026-02-27 03:55:54.602000+00:00,1772164800,2026-02-27T04:00:00.000Z,-2.0,-3.0,320,2.0,6+,1027.0,16,METAR,METAR BKPR 270400Z 32002KT CAVOK M02/M03 Q1027 NOSIG,42.576,21.03,545,Pristina Intl,CAVOK,[],VFR,,,,,,,,,,"Pristina Intl, PR, XK",XK,,-3.1021888403884685
4076,CYBX,2026-02-27 03:52:12.831000+00:00,1772163960,2026-02-27T03:46:00.000Z,-2.0,-3.0,250,11.0,10+,1002.5,0,SPECI,SPECI CYBX 270346Z 25011KT 10SM OVC009 M02/M03 A2960 RMK SC8 SLP029,51.442,-57.188,32,Blanc Sablon Arpt,OVC,"[{'cover': 'OVC', 'base': 900}]",IFR,,,1002.9,,,,,,,"Blanc Sablon Arpt, QC, CA",CA,Canada,-7.801521530628624
