,icaoId,receiptTime,obsTime,reportTime,temp,dewp,wdir,wspd,wgst,visib,altim,qcField,metarType,rawOb,lat,lon,elev,name,cover,clouds,fltCat,wxString,precip,maxT,minT,slp,vertVis,maxT24,minT24,IATA,Airport name,Country,City,Information
0,BGBW,2025-11-15 23:26:17.808000+00:00,1763248800,2025-11-15T23:20:00.000Z,-2.0,-4.0,120,2.0,,,1024.0,2,METAR,METAR BGBW 152320Z AUTO 12002KT 9999NDV BKN240/// M02/M04 Q1024,61.164,-45.42,49,"Narssarssuaq Arpt, KJ, GL",BKN,"[{'cover': 'BKN', 'base': 24000}]",,,,,,,,,,UAK,Narsarsuaq Airport,Greenland,Narsarsuaq,https://www.worlddata.info/america/greenland/airports.php
1,BGGH,2025-11-15 23:20:09.363000+00:00,1763248800,2025-11-15T23:20:00.000Z,0.0,-1.0,50,13.0,,6+,1020.0,2,METAR,METAR BGGH 152320Z AUTO 05013KT 9999 SCT001/// M00/M01 Q1020,64.191,-51.677,76,"Godthab/Nuuk Arpt, SM, GL",SCT,"[{'cover': 'SCT', 'base': 100}]",VFR,,,,,,,,,GOH,Nuuk Airport,Greenland,Nuuk,https://www.worlddata.info/america/greenland/airports.php
2,BGJN,2025-11-15 23:26:17.850000+00:00,1763248800,2025-11-15T23:20:00.000Z,-4.0,-7.0,140,1.0,,,1028.0,2,METAR,METAR BGJN 152320Z AUTO 14001KT 9999NDV NCD M04/M07 Q1028,69.24,-51.064,22,"Ilulissat Arpt, AV, GL",CLR,[],,,,,,,,,,JAV,Ilulissat Airport,Greenland,Ilulissat,https://www.worlddata.info/america/greenland/airports.php
3,BGKK,2025-11-15 23:26:17.891000+00:00,1763248800,2025-11-15T23:20:00.000Z,0.0,-6.0,0,0.0,,,1027.0,2,METAR,METAR BGKK 152320Z AUTO 00000KT 9999NDV NCD 00/M06 Q1027,65.575,-37.133,37,"Kulusuk Arpt, SM, GL",CLR,[],,,,,,,,,,KUS,Kulusuk Airport,Greenland,Kulusuk,https://www.worlddata.info/america/greenland/airports.php
4,BGSF,2025-11-15 23:26:17.929000+00:00,1763248800,2025-11-15T23:20:00.000Z,-8.0,-8.0,40,6.0,,,1027.0,2,METAR,METAR BGSF 152320Z AUTO 04006KT 9999NDV NCD M08/M08 Q1027,67.013,-50.718,75,"Stroemfjord Arpt, QQ, GL",CLR,[],,,,,,,,,,SFJ,Kangerlussuaq Airport,Greenland,Kangerlussuaq,https://www.worlddata.info/america/greenland/airports.php
5,BGTL,2025-11-15 23:06:50.848000+00:00,1763247300,2025-11-15T23:00:00.000Z,-5.5,-8.9,0,0.0,,6+,1029.9,46,METAR,METAR BGTL 152255Z AUTO 00000KT 9999 BKN021 OVC044 M05/M09 A3041 RMK AO2 CIG 021V043 BKN V FEW SLP281 T10551089 TSNO $,76.527,-68.758,79,"Thule, AV, GL",OVC,"[{'cover': 'BKN', 'base': 2100}, {'cover': 'OVC', 'base': 4400}]",MVFR,,,,,1028.1,,,,THU,Pituffik Space Base,Greenland,Pituffik,https://www.worlddata.info/america/greenland/airports.php
6,BIAR,2025-11-15 23:03:32.840000+00:00,1763247600,2025-11-15T23:00:00.000Z,-7.0,-8.0,190,6.0,,6+,1026.0,0,METAR,METAR BIAR 152300Z 19006KT CAVOK M07/M08 Q1026,65.655,-18.069,1,"Akureyri Arpt, NE, IS",CAVOK,[],VFR,,,,,,,,,AEY,Akureyri Airport,Iceland,Akureyri,https://www.worlddata.info/europe/iceland/airports.php
7,BIEG,2025-11-15 23:03:32.857000+00:00,1763247600,2025-11-15T23:00:00.000Z,-1.0,-5.0,170,6.0,,6+,1024.0,0,METAR,METAR BIEG 152300Z 17006KT 130V190 CAVOK M01/M05 Q1024,65.275,-14.409,20,"Egilsstaðir Arpt, E, IS",CAVOK,[],VFR,,,,,,,,,EGS,Egilsstaðir Airport,Iceland,Egilsstaðir,https://www.worlddata.info/europe/iceland/airports.php
8,BIKF,2025-11-15 23:33:17.244000+00:00,1763249400,2025-11-15T23:30:00.000Z,2.0,1.0,350,8.0,,6+,1023.0,0,METAR,METAR BIKF 152330Z 35008KT 9999 FEW007 02/01 Q1023,63.987,-22.614,49,"Keflavik Intl, SP, IS",FEW,"[{'cover': 'FEW', 'base': 700}]",VFR,,,,,,,,,KEF,Keflavik International Airport,Iceland,Reykjavík,https://www.worlddata.info/europe/iceland/airports.php
9,BIRK,2025-11-15 23:03:32.895000+00:00,1763247600,2025-11-15T23:00:00.000Z,3.0,2.0,350,6.0,,6+,1023.0,0,METAR,METAR BIRK 152300Z 35006KT 9999 OVC004 03/02 Q1023,64.129,-21.941,12,"Reykjavik Arpt, HO, IS",OVC,"[{'cover': 'OVC', 'base': 400}]",LIFR,,,,,,,,,RKV,Reykjavik Airport,Iceland,Reykjavik,https://www.worlddata.info/europe/iceland/airports.php
10,BKPR,2025-11-15 23:30:09.990000+00:00,1763249400,2025-11-15T23:30:00.000Z,1.0,1.0,VRB,1.0,,4.97,1018.0,0,METAR,METAR BKPR 152330Z VRB01KT 8000 BR FEW015 01/01 Q1018 TEMPO 2000 BR,42.576,21.03,545,"Pristina Intl, PR, XK",FEW,"[{'cover': 'FEW', 'base': 1500}]",MVFR,BR,,,,,,,,PRN,Priština Adem Jashari International Airport,Kosovo,Prishtina,https://www.worlddata.info/europe/kosovo/airports.php
11,CBBC,2025-11-15 23:35:45.568000+00:00,1763249700,2025-11-15T23:35:00.000Z,8.0,8.0,,,,9,1009.2,2,SPECI,SPECI CBBC 152335Z AUTO /////KT 9SM BKN007 OVC011 08/08 A2980 RMK WIND MISG SLP094,52.181,-128.154,36,"Bella Bella Arpt, BC, CA",OVC,"[{'cover': 'BKN', 'base': 700}, {'cover': 'OVC', 'base': 1100}]",IFR,,,,,1009.4,,,,ZEL,Bella Bella (Campbell Island) Airport,Canada,Bella Bella,https://www.worlddata.info/america/canada/airports.php
